course_code,title,year,quarter,credits,learning_line,prerequisites_formal,prerequisites_informal,category,serious_pass_rate_2024,pass_rate_2024,content,learning_outcomes_codes,learning_outcomes_text
2IRR30,Software Engineering Project,3,"1,2",10,Software Development,"2IP90,2IRR00,2IT60,2IT80,2IL50,2IX20, 2IRR10",,Advanced,,,"The course covers the following topics:
Basic introduction to software engineering and processes
Requirements: focusing on requirements elicitation process. This part will also refresh the knowledge about formulating requirements and prioritizing them (part of course Software Design)
Domain analysis: focusing on determining the system boundary and system external interfaces, identification of stakeholders and their priorities, identifying and aligning system capabilities with business. It should be noted that domain analysis as taught in this course differs from domain analysis in the Database course where the goal is to derive a data model
Software architecting, design and modeling: focusing on the process of architectural design, identification and selection of design alternatives; documentation of software architecture. The knowledge in UML will be extended by introducing component and deployment diagrams
Quality assurance and software testing: introduces the kinds of testing necessary for the executed project and goes beyond the simple unit testing already presented in previous courses. This part also discussed DevOps and CI/CD processes
Lecture from industry on emerging topics like low code development, software engineering for AI systems, and others
","SD0,SD1, SD2,SD3,SD4,SD5,SD6",
2ICS00,Bachelor Final Project BCS,3,"3,4",10,All,"2WBB0,2IP90,2IT60,2DRR00,2IT80,2IAB1,2DRR10,2IL50,2IC30,2IRR00,2IRR10,0LVX10",,Advanced,,,"In this course, the students apply and integrate knowledge and skills that have been acquired during the bachelor program in a research-oriented project. This project will be carried out with great independence of the students under the advice of an academic supervisor. The students make and execute a project plan, explore, relate, and use scientific literature in the context of the project’s topic, present the project and its outcomes both orally and in writing, and evaluate the results and decisions made during the project.",,
2IRR60,Capstone Heuristic Algorithms,3,1,5,Algorithms & Theory of Computing,2ILC0,,Advanced,,,"There are various algorithms and algorithmic techniques that allow us to efficiently solve algorithmic problems with guarantees on both the solution quality and the running time of the algorithms. However, there are also algorithmic problems that are provenly hard and for which we cannot provide such guarantees in general. These problems are often encountered in practice and good solutions are required for practical applications, regardless of the fact that we cannot provide any guarantees on these solutions. In this course we cover heuristic algorithmic techniques for optimization problems that cannot provide guarantees on the computed solutions, but do have strong theoretical foundations, including local search, simulated annealing, and evolutionary algorithms. Furthermore, we cover tools that can be used to solve hard problems optimally, but without any guarantees on the running time of the algorithm, including ILP solvers and SAT solvers. Finally, we cover how the performance of algorithms can be evaluated experimentally, in the absence of any formal guarantees.
 ",,
2IRR70,Capstone Systems Integration,3,1,5,Systems,,"2INC0,2IRR20,2ID50,2IRR40,2IRR10",Advanced,,,"After this course, the student is able to formulate observed functional, performance, and security issues in the operation of a distributed cyber-physical system of medium-sized complexity (ILO1). The student can formulate these such that they can be replicated (ILO2), and the student can analyse the combination of technologies/disciplinaries involved in these issues (ILO3). Finally, the student is able to work on the solution of issues in a methodical way, making use of combined basic disciplinary knowledge from relevant domains (ILO4). Note that, while the course contains hands-on deliverables and makes use of the students existing professional skills to show the quality of their work, it is not an explicit ILO of the course to improve those skills. A students final assessment may be influenced by a lack of such professional skills, but this is deemed fair considering the position of the course in the curriculum.",,
2IRR80,Capstone Software Development,3,1,5,Software Development,"2IP90,2IRR00,2IX20",,Advanced,,,"In the first two weeks, a kick-off in which the goals and structure of the course are explained, groups are created, and the curated list of open-source projects is introduced; and 
Three content lectures covering basic methods to assess the software and processes of open-source projects 
In weeks 3+4, groups apply methods they learned to an open-source project of their choice from the curated list and create a mid-term report. 
In weeks 5+6, three content lectures covering advanced methods to assess the software and processes of open-source projects. At this point the students will start on their reflection essay. 
From the middle of week 6, two weeks where groups apply methods they learned to the open-source project they chose before, create a final report and presentation, and finalize their reflection essay. 
Final presentation session",,
0LVX20,ITEC Engineering for Society,3,3,5,External,,,Deepening,,,"Technological innovation is one of the key elements of human progress. New technologies can provide business opportunities, solve social problems, and allow users to do new things. However, even with clear expectations and active participation of a broad range of stakeholders, new technologies also raise ethical questions, can have serious implications for society and the environment, and pose new risks, often unknown and unknowable before the new technologies reach maturity. Society not only shapes technology but technology also shapes society. 

New technologies strongly depend on social acceptance and cannot escape public debates of regulation and ethics. Engineers who develop technologies must do that responsibly, since they do not just make things; they build society. They need to reflect on – and include – public values in this process. This requires methods and approaches to evaluate and compare technologies. This course provides theoretical and practical frameworks for assessing and designing responsible innovations.",,
ElectiveY2Q1,Elective,2,1,5,External,,,,,,,,
ElectiveY2Q2,Elective,2,2,5,External,,,,,,,,
ElectiveY2Q3,Elective,2,3,5,External,,,,,,,,
ElectiveY3Q1,Elective,3,1,5,External,,,,,,,,
ElectiveY3Q2a,Elective,3,2,5,External,,,,,,,,
ElectiveY3Q2b,Elective,3,2,5,External,,,,,,,,
ElectiveY3Q3,Elective,3,3,5,External,,,,,,,,
ElectiveY3Q4a,Elective,3,4,5,External,,,,,,,,
ElectiveY3Q4b,Elective,3,4,5,External,,,,,,,,
